RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,Gear_Ratio,No_Gears,shiftDelay,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW
26,0.645,2.41194,1,1,3.75,1785,2.528,"[4.15, 2.37, 1.56, 1.16, 0.86, 0.69]",6,0.35,1000,6500,64.4,322,191
27,0.619,2.30166,0,0,2.93,1330,2.7,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,1000,7000,64,320,184
28,0.619,2.30166,0,0,2.93,1330,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,66,330,195
29,0.619,2.30166,0,0,2.93,1490,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,82,410,230
30,0.619,2.30166,0,0,2.79,1500,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,94,470,245
31,0.619,2.30166,0,0,2.93,1450,2.7,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,1000,6500,64,320,184
32,0.619,2.27088,0,0,2.93,1450,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,66,330,195
33,0.619,2.27088,0,0,2.79,1610,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,94,470,245
34,0.619,2.27088,0,0,2.93,1330,2.7,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,1000,6500,64,320,184
35,0.619,2.331354,0,0,3.64,1330,2.7,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,1.2,1000,7000,64,320,184
36,0.619,2.331354,0,0,2.93,1330,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,66,330,195
37,0.619,2.331354,0,0,2.93,1330,2.7,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.8,1000,7000,58.6,293,177
38,0.619,2.331354,0,0,2.93,1490,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,82,410,230
39,0.619,2.331354,0,0,2.93,1380,2.7,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,1000,6500,64,320,184
40,0.619,2.327958,0,0,2.93,1380,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,66,330,195
41,0.644,2.401819,0,0,3.15,1450,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,67,335,206
42,0.644,2.401819,0,0,3.64,1480,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,1000,7000,67,335,206
43,0.644,2.401819,0,0,3.15,1450,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,72.4,362,224
44,0.644,2.401819,0,0,3.64,1480,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.8,1000,7000,72.4,362,224
45,0.644,2.401819,0,0,3.15,1620,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.35,1000,7000,67,335,206
46,0.644,2.401819,0,0,3.64,1645,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,1000,7000,67,335,206
47,0.644,2.375464,0,0,3.15,1620,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,72.4,362,224
48,0.644,2.375464,0,0,3.64,1645,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.35,1000,7000,72.4,362,224
49,0.644,2.425905,0,0,3.64,1480,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.35,1000,7000,67,335,206
50,0.644,2.425905,1,1,3.73,1560,2.725,"[3.42, 2.22, 1.6, 1.0, 0.75]",5,0.35,1000,7000,67,335,206
51,0.644,2.425905,0,0,3.15,1450,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.35,1000,7000,72.4,362,224
52,0.644,2.458946,0,0,3.64,1480,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.8,1000,7000,72.4,362,224
53,0.644,2.450251,1,1,3.73,1630,2.725,"[3.42, 2.22, 1.6, 1.0, 0.75]",5,0.35,1000,7000,67,335,206
54,0.644,2.415471,0,0,3.15,1525,2.725,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,72.4,362,224
55,0.644,2.450251,0,0,3.64,1555,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,1000,7000,72.4,362,224
56,0.648,2.48589,0,0,3.46,1560,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,100,500,265
57,0.648,2.48589,1,1,3.46,1670,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,7000,100,500,265
58,0.648,2.48589,0,0,3.46,1535,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,108,540,300
59,0.648,2.51262,0,0,3.46,1560,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,108,540,294
60,0.648,2.48589,1,1,3.46,1670,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.1,1000,7000,108,540,294
61,0.648,2.51262,0,0,3.46,1770,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,7000,100,500,265
62,0.648,2.46807,0,0,3.46,1770,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,108,540,294
63,0.648,2.46807,0,0,3.46,1570,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,100,500,265
64,0.648,2.583774,1,1,3.46,1680,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,7000,100,500,265
65,0.648,2.583774,0,0,3.46,1570,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,108,540,294
66,0.648,2.611029,1,1,3.46,1680,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.06,1000,7000,108,540,294
67,0.648,2.611029,0,0,3.46,1630,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,108,540,294
68,0.648,2.63465,1,1,3.46,1720,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,7000,108,540,294
69,0.648,2.63465,0,0,3.46,1650,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,100,500,265
70,0.648,2.661905,1,1,3.46,1750,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,7000,100,500,265
71,0.655,2.591541,0,0,2.81,1705,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,7000,120,600,301
72,0.655,2.591541,1,1,2.81,1780,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,120,600,301
73,0.655,2.591541,0,0,2.81,1705,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,7000,132,660,324
74,0.655,2.591541,1,1,2.81,1780,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,132,660,324
75,0.655,2.591541,0,0,2.81,1780,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,7000,132,660,324
76,0.655,2.591541,1,1,2.81,1840,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,132,660,324
77,0.655,2.591541,0,0,2.81,1780,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,7000,120,600,301
78,0.655,2.591541,1,1,2.81,1840,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,120,600,301
79,0.664,2.97792,1,1,2.81,1785,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,140,700,340
80,0.664,2.97792,1,1,2.81,1865,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,140,700,340
81,0.664,2.63088,1,1,2.81,1875,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,146,730,364
82,0.664,2.627226,1,1,2.81,1955,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,146,730,364
83,0.664,2.63088,1,1,2.81,1945,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,146,730,389
84,0.655,2.505725,0,0,2.81,1690,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,120,600,301
85,0.655,2.505725,1,1,2.81,1755,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,120,600,301
86,0.655,2.505725,0,0,2.81,1690,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,132,660,324
87,0.655,2.505725,1,1,2.81,1755,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,132,660,324
88,0.655,2.5185,0,0,2.81,1915,2.809,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,132,660,324
89,0.655,2.664,1,1,2.81,1965,2.856,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,146,730,364
90,0.647,2.46715,0,0,3.45,1790,2.684,"[2.48, 1.48, 1.0, 0.73]",4,0.8,1000,6500,94,470,257
91,0.647,2.46715,0,0,2.93,1865,2.684,"[4.25, 2.53, 1.68, 1.24, 1.0, 0.83]",6,0.8,1000,6500,114,570,306
92,0.721,2.758896,1,1,2.81,2175,3.023,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64, 2.81]",8,1.2,1000,6500,160,800,457
93,0.787,3.67,1,1,3.09,2730,3.105,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,457
94,0.716,3.17467,1,1,2.81,1900,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,6500,140,700,257
95,0.738,3.139535,1,1,2.81,2045,2.864,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6500,154,770,285
96,0.738,3.139535,1,1,2.81,2145,2.864,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6500,160,800,290
97,0.619,2.30166,0,0,2.93,1490,2.7,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,1000,7000,82,410,230
98,0.619,2.327958,0,0,3.46,1380,2.7,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,1.2,1000,7000,66,330,195
99,0.644,2.375464,0,0,3.64,1645,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,1000,7000,67,335,206
100,0.644,2.450251,0,0,3.64,1555,2.725,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,0.6,1000,7000,67,335,206
101,0.648,2.48589,0,0,3.46,1560,2.76,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,7000,100,500,265
102,0.664,2.97792,1,1,2.81,1785,2.851,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,140,700,340
103,0.655,2.505725,0,0,2.81,1690,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,7000,120,600,301
104,0.655,2.505725,0,0,2.81,1915,2.809,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,7000,120,600,301
105,0.647,2.46715,0,0,2.93,1865,2.684,"[4.25, 2.53, 1.68, 1.24, 1.0, 0.83]",6,0.8,1000,6500,114,570,306
106,0.787,3.67,1,1,3.09,2730,3.105,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,457
107,0.716,3.17467,1,1,2.81,1900,2.81,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,6500,140,700,257
108,0.745,3.112105,1,1,2.81,2145,2.864,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6500,160,800,290
109,0.654,2.47975,0,0,3.45,1650,2.761,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,82,410,232
110,0.654,2.47975,0,0,2.93,1605,2.761,"[4.23, 2.51, 1.67, 1.25, 1.0, 0.83]",6,0.8,1000,6500,96,480,250
111,0.654,2.437392,0,0,3.15,1695,2.761,"[4.02, 2.32, 1.4, 1.0, 0.81]",5,0.35,1000,6500,104,520,265
112,0.653,2.547,0,0,2.93,1530,2.83,"[4.2, 2.49, 1.66, 1.24, 1.0]",5,0.6,1000,6500,66,330,191
113,0.653,2.547,0,0,2.79,1540,2.83,"[4.2, 2.49, 1.66, 1.24, 1.0]",5,0.6,1000,6500,67,335,206
114,0.653,2.547,0,0,3.15,1660,2.83,"[3.57, 2.2, 1.51, 1.0, 0.8]",5,0.6,1000,6500,94,470,250
115,0.653,2.547,0,0,3.08,1690,2.83,"[3.57, 2.2, 1.51, 1.0, 0.8]",5,0.35,1000,6500,102,510,276
116,0.661,2.547,0,0,2.93,1645,2.83,"[4.2, 2.49, 1.66, 1.24, 1.0]",5,0.35,1000,6500,66,330,191
117,0.653,2.565,0,0,2.79,1640,2.83,"[4.2, 2.49, 1.66, 1.24, 1.0]",5,0.6,1000,6500,67,335,206
118,0.653,2.565,0,0,3.08,1800,2.83,"[3.57, 2.2, 1.51, 1.0, 0.8]",5,0.6,1000,6500,102,510,276
119,0.653,2.556,0,0,3.15,1770,2.83,"[3.57, 2.2, 1.51, 1.0, 0.8]",5,0.6,1000,6500,94,470,250
120,0.661,2.709928,0,0,3.38,1720,2.888,"[4.17, 2.34, 1.52, 1.14, 0.88, 0.69]",6,0.35,1000,6800,140,700,368
121,0.661,2.709928,0,0,3.38,1720,2.888,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,145,725,390
122,0.661,2.709928,0,0,3.38,1810,2.886,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,145,725,390
123,0.661,2.752386,0,0,3.38,1810,2.886,"[4.17, 2.34, 1.52, 1.14, 0.88, 0.69]",6,0.35,1000,6800,140,700,368
124,0.664,2.73234,0,0,2.81,1920,2.968,"[4.7, 3.13, 2.1, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.35,1000,6800,140,700,373
125,0.664,2.70258,0,0,2.81,1990,2.968,"[4.7, 3.13, 2.1, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.35,1000,6800,140,700,373
126,0.696,2.738488,1,1,2.81,2015,2.975,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,447
127,0.696,2.738488,1,1,3.3,2120,2.975,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,447
128,0.696,2.738488,1,1,3.3,2120,2.975,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,457
129,0.676,2.543205,0,0,3.38,1720,2.78,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,140,700,368
130,0.676,2.543205,0,0,3.38,1720,2.78,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,145,725,390
131,0.676,2.543205,0,0,3.38,1930,2.78,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,140,700,368
132,0.676,2.543205,0,0,3.38,1930,2.78,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,145,725,390
133,0.69,2.602356,0,0,2.81,2020,2.855,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.1,1000,6800,146,730,397
134,0.69,2.602356,1,1,2.81,2020,2.855,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,6800,146,730,397
135,0.69,2.647812,1,1,2.81,2105,2.968,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.06,1000,6800,160,800,441
136,0.69,2.647812,0,0,2.81,2020,2.855,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.2,1000,6800,146,730,397
137,0.654,2.603295,0,0,3.45,1790,2.833,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,1,1000,6500,82,410,232
138,0.654,2.603295,0,0,3.45,1830,2.947,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.8,1000,6500,82,410,232
139,0.652,2.566395,0,0,3.45,1860,2.833,"[2.48, 1.43, 1.0, 0.73]",4,0.8,1000,6500,94,470,257
140,0.652,2.566395,0,0,3.45,1890,2.947,"[2.48, 1.48, 1.0, 0.73]",4,0.8,1000,6500,94,470,257
141,0.661,2.63473,0,0,3.15,2035,2.93,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,110,550,280
142,0.661,2.63473,0,0,3.15,2070,3.07,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,112,560,285
143,0.661,2.63473,0,0,3.15,2035,2.93,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,112,560,285
144,0.661,2.63473,0,0,3.15,2010,2.93,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,120,600,316
145,0.661,2.63473,0,0,3.15,2010,2.93,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.6,1000,6500,120,600,316
146,0.714,2.809254,0,0,3.64,2025,2.99,"[4.17, 2.34, 1.52, 1.14, 0.88, 0.69]",6,0.35,1000,6800,140,700,368
147,0.714,2.809254,0,0,3.64,2065,3.13,"[4.17, 2.34, 1.52, 1.14, 0.88, 0.69]",6,0.35,1000,6800,140,700,368
148,0.704,2.811156,0,0,3.46,2040,3.07,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,140,700,373
149,0.704,2.811156,0,0,2.81,2040,3.07,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 0.67]",8,0.35,1000,6800,146,730,397
150,0.704,2.811156,1,1,3.46,2130,3.07,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,1000,6800,140,700,373
151,0.704,2.811156,1,1,3.46,2160,3.21,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,1000,6800,140,700,373
152,0.714,2.835882,1,1,2.81,2110,3.21,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,447
153,0.714,2.835882,1,1,2.81,2110,3.21,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,6800,160,800,447
154,0.607,2.13278,0,0,3.73,1250,2.447,"[3.83, 2.2, 1.4, 1.0, 0.81]",5,0.6,1000,6500,52.2,261,147
155,0.648,2.306395,0,0,3.23,1395,2.495,"[4.35, 2.5, 1.67, 1.23, 1.0, 0.85]",6,0.35,1000,6500,72.4,362,221
156,0.677,2.41011,0,0,3.38,1695,2.505,"[3.57, 2.2, 1.51, 1.0, 0.8]",5,0.35,1000,6500,104,520,280
157,0.633,2.251096,0,0,3.79,1173,2.42,"[3.62, 2.37, 1.51, 0.76, 0.93, 0.84, 0.71]",7,0.06,1000,6500,64,320,185
158,0.714,2.5542,0,0,3.08,1820,2.805,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,1000,7300,160,800,500
159,0.714,2.5542,0,0,3.08,1895,2.805,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,1000,7300,160,800,515
160,0.714,2.52525,0,0,3.08,1930,2.805,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,1000,7000,160,800,500
161,0.714,2.5155,0,0,3.08,2005,2.805,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,1000,7300,160,800,515
162,0.714,2.5155,0,0,3.08,1898,2.805,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.06,1000,7300,160,800,500
163,0.792,3.35664,1,1,3.07,2245,3.06,"[5.35, 3.24, 2.25, 1.64, 1.21, 1.0, 0.86, 0.72, 0.6]",9,0.06,1000,7000,140,700,405
164,0.675,2.55759,0,0,3.69,1910,2.69,"[2.66, 1.78, 1.3, 1.0, 0.85, 0.7]",6,0.6,1000,7000,108.4,542,338
165,0.675,2.55759,0,0,4.3,1950,2.69,"[2.66, 1.78, 1.3, 1.0, 0.8, 0.63]",6,0.6,1000,7000,115.4,577,388
166,0.685,2.474128,0,0,3.46,1814,2.74,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.66]",8,0.06,1000,7000,126,630,444
167,0.685,2.474128,0,0,2.73,1814,2.74,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.66]",8,0.06,1000,7000,126,630,444
168,0.718,2.5641,0,0,2.93,1910,2.885,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1000,7000,200,1000,613
169,0.652,2.58685,0,0,4.09,1950,2.61,"[2.45, 1.45, 1.0, 0.69]",4,0.35,1000,7300,100,500,260
170,0.652,2.6496,0,0,4.09,2000,2.81,"[2.45, 1.45, 1.0, 0.69]",4,0.35,1000,7300,100,500,260
171,0.66,2.340575,0,0,3.91,1645,2.6,"[3.15, 1.95, 1.44, 1.15, 0.94, 0.78]",6,0.6,1000,7000,83.4,417,283
172,0.673,2.33125,0,0,3.7,1680,2.6,"[3.15, 1.97, 1.44, 1.15, 0.94, 0.78]",6,0.35,1000,7300,114,570,380
173,0.66,2.33125,0,0,3.09,1690,2.6,"[3.15, 1.97, 1.44, 1.15, 0.94, 0.78]",6,0.35,1000,7000,98,490,321
174,0.66,2.33125,0,0,3.91,1710,2.6,"[3.15, 1.95, 1.44, 1.15, 0.94, 0.78]",6,0.35,1000,7000,83.4,417,283
175,0.718,2.525068,0,0,2.93,1530,2.704,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 1.29]",8,0.06,1000,7000,137,685,375
176,0.682,2.474108,0,0,2.93,1530,2.704,"[4.71, 3.14, 2.11, 1.67, 1.29, 1.0, 0.84, 1.29]",8,0.06,1000,7300,137,685,375
