RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
246,0.6345,2.56752,1,1,4.56,1520,2.692,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.79]",5,0.8,1984,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.7,10.68,-1.0199999999999996,-8.717948717948715,PASS,G4_10to13s
247,0.6345,2.56752,1,0,3.89,1490,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.2,1781,,0.0,0,0,0,0,0,1000,6500,45.0,225,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.1,9.245000000000001,-0.8549999999999986,-8.465346534653452,PASS,G4_10to13s
248,0.6319,2.62812,1,0,4.11,1320,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,1.0,1781,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.3,10.435,-0.8650000000000002,-7.65486725663717,PASS,G4_10to13s
252,0.6319,2.62993,1,0,4.13,1395,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,0.8,1781,Turbo,0.7,0,0,0,0,0,1000,6500,39.0,195,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.5,9.870000000000001,-0.629999999999999,-5.999999999999991,PASS,G4_10to13s
253,0.6319,2.67699,1,0,4.11,1395,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,1.0,1781,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.7,10.8,-0.8999999999999986,-7.69230769230768,PASS,G4_10to13s
256,0.6319,2.62812,1,0,4.13,1450,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,0.8,1781,Turbo,0.7,0,0,0,0,0,1000,6500,39.0,195,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.7,10.095,-0.6049999999999986,-5.654205607476624,PASS,G4_10to13s
287,0.6524,2.705352,1,0,3.09,1280,2.601,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.77, 1.96, 1.28, 0.97, 0.78, 0.65]",6,0.6,999,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.1,9.445,-0.6549999999999994,-6.4851485148514785,PASS,G4_10to13s
290,0.6524,2.705352,1,0,3.09,1300,2.601,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.77, 1.96, 1.28, 0.97, 0.78, 0.65]",6,0.6,1395,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.1,9.535,-0.5649999999999995,-5.594059405940589,PASS,G4_10to13s
292,0.6345,2.51336,1,0,3.09,1485,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.62, 1.96, 1.28, 0.97, 0.78, 0.65]",6,0.6,1197,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.7,9.84,-0.8599999999999994,-8.037383177570089,PASS,G4_10to13s
298,0.6345,2.56752,1,1,4.11,1590,2.692,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,0.8,1781,,0.0,0,0,0,0,0,1000,6500,45.0,225,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.3,9.3,-1.0,-9.70873786407767,PASS,G4_10to13s
