RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
59,0.62,2.51262,1,1,3.8,2150,2.93,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,160,800,441,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
60,0.62,2.48589,1,1,3.8,2140,2.93,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,170,850,463,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
61,0.62,2.51262,1,1,3.8,1845,2.82,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,1.2,1,0,0,0,0,750,6500,46,230,280,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
62,0.62,2.46807,1,1,3.8,2474,2.82,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,1.2,1,0,0,0,0,750,6500,80,400,280,50,10,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
63,0.62,2.46807,1,1,3.8,2505,3.194,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,90,450,250,400,100,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
64,0.62,2.583774,1,1,3.8,2646,3.194,3.8,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,0,1,0,1,0,750,6500,90,450,250,0,0,0,0,450,140,10000,0.04,0,0,0,0,166,50,15000,0.04
65,0.62,2.583774,1,0,4,1465,2.67,0,"[15.3, 9.03, 5.74, 4.01, 3.11, 2.49, 2.02]",7,0.35,1,0,0,0,0,750,6500,46,230,90,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
66,0.62,2.611029,1,0,4,1500,2.67,0,"[15.3, 9.03, 5.74, 4.01, 3.11, 2.49, 2.02]",7,0.35,1,0,0,0,0,750,6500,48,240,115,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
67,0.62,2.611029,1,1,3.8,1605,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
68,0.65,2.63465,1,0,4,1495,2.67,0,"[15.3, 9.03, 5.74, 4.01, 3.11, 2.49, 2.02]",7,0.35,1,0,0,0,0,750,6500,56,280,90,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
